D100 Verb Adjective "Noun 1" "Noun 2"  D100 Verb Adjective "Noun 1" "Noun 2"
1 Abtrünnig Haudegen Reittier Berg - 51 Brennend Gegoren Hexe Herd
2 Ertrinkend Ruhig Reiter Sattel - 52 Flammend Gebrandmarkt Teufel Hocker
3 Hängend Fröhlich Jungfrau Gilde - 53 Frierend Verziert Engel Prinzessin
4 Rülpsen Gut Magier Reißzähne - 54 Vergiften Ertränkt Schlange Kette
5 Laufen Krumm Junggeselle Mann - 55 Begraben Ermordet Schlange Schwert
6 Laufen Weiß König Begnadigung - 56 Werfen Verwitwet Ratte Schwein
7 Jagen Grau Magistrat Vergnügen - 57 Funkenschlag Gehängt Maus Getreide
8 Kämpfen Geschwärzt Kriegshäuptling Gürtel - 58 Dämpfen Wütend Bandit Zahn
9 Schwingen Bedrängt Krieger Stab - 59 Schlagen Lustvoll Häuptling Lanze
10 Brechend Karminrot Stute Schild - 60 Schnatternd Geisterhaft Greif Axt
11 Arbeiten Silber Wolf Fürst - 61 Schnatternd Stark Drache Schwertscheide
12 Gärend Golden Fuchs Meister - 62 Murmelnd Verwelkt Eidechse Messer
13 Blühend Gestört Löwe Diener - 63 Knirschend Hübsch Pony Dolch
14 Besorgt Schmutzig Lamm Mahlzeit - 64 Pflügen Fromm Baron Speer
15 Folgen Hässlich Aufseher Prinz - 65 Beißen Büßer Färse Bogen
16 Fließend Bastard Maultier Gunst - 66 Heulend Geduldig Stier Armbrust
17 Klagend Zaudernd Meuchelmörder Liebe - 67 Brüllend Betrunken Jagdhund Quarterstaff
18 Stehend Ruhmreich Schwertkämpfer Worte - 68 Schreiend Würdig Ziege Stab
19 Scherzend Schön Dame Schreiber - 69 Gießend Wohlhabend Kröte Feuer
20 Lachend Schön Ritter Lehrling - 70 Quietschend Abscheulich Hengst Eis
21 Keuchend Zerknittert Soldat Akolyth - 71 Stechend Schwach Monster Wind
22 Einsteigen Unglücklich Zauberer Kleid - 72 Aufladen Winzig Ungeziefer Erde
23 Faulenzen Intelligent Hexenmeister Göttin - 73 Bluten Miniatur Betrachter Wasser
24 Schneiden Lieblich Waldläufer Gott - 74 Stechen Riesig Affe Stein
25 Singen Unwissend Barde Gold - 75 Stechen Vergrößert Elefant Kelle
26 Starren Senil Druide Geldbeutel - 76 Stechen Verschlungen Wildschwein Kloster
27 Anspornend Sauer Mönch Falle - 77 Verschlucken Lüstern Beagle Kelch
28 Enttäuschend Süß Paladin König - 78 Saugend Verachtenswert Fledermaus Kelch
29 Schwankend Einsam Zauberer Sohn - 79 Trinkend Unzüchtig Dämon Kerker
30 Bindend Grün Schurke Schwester - 80 Schleichend Beleibt Kobold Lust
31 Windend Blind Kleriker Mutter - 81 Verstecken Gewalttätig Sprite Laterne
32 Zerschmetternd Hungrig Bär Tochter - 82 Aufschlitzen Stümperhaft Fey Knochen
33 Sehnsucht Besorgt Kobold Schrei - 83 Hinkend Fehlerhaft Geist Leben
34 Stolpernd Gebildet Kobold Schrei - 84 Stolpernd Unberührt Schlampe Stein
35 Stolpernd Dumm Gnom Schrank - 85 Schiebend Reinlich Starling Herrin
36 Stolpernd Ermutigt Halbling Vorratskammer - 86 Rutschend Rissig Minotaurus Geist
37 Schmachten Ehrenhaft Zwerg Königin - 87 Blendend Gesplittert Barbar Schatz
38 Jammernd Stinkend Narr Reichtum - 88 Durchbohrt Juwelen Prophet Tauschhandel
39 Fliegend Bodenlos Jungfrau Stern - 89 Prügelnd Überlegen Kaufmann Waffenschmied
40 Horten Schmierig Horde Leere - 90 Zermalmen Makellos Schuster Butler
41 Huren Schlampig Knappe Frau - 91 Hüpfend Gemein Einhorn Seite
42 Kriegerisch Stilvoll Adler Mann - 92 Donnernd Exquisit Oger Wälzer
43 Zwinkernd Besorgt Hahn Hure - 93 Rauschend Elegant Nymphe Feder
44 Schlitternd Gekräht Ferkel Schlachter - 94 Schreiend Fein Schlachter Schatten
45 Schlitternd Gequält Dieb Amboss - 95 Heulend Dumpf Hauptmann Freund
46 Schnarchen Gequält Priester Wälzer - 96 Trauern Spröde Angler Labyrinth
47 Schnaubend Schief Mönch Opfer - 97 Verdunkelnd Zerbrechlich Liebhaber Berg
48 Spielend Gebrochen Schmied Rüstung - 98 Stapeln Verweichlicht Maurer Hoffnung
49 Üben Schimmelig Wächter Becher - 99 Graben Männlich Kesselflicker Stiefel
50 Greifen Schleimig Hirsch Topf - 100 Schleudern Rückenlage Wal Stulpe
